"Subject.ID","Age","Children in care","Gender","Location (Postcode)","Latitude","Longitude","Language","Language 2","Education","Home education status","Main Activities","Question","Response","sa4","sa3","sa2","lga","sla"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Intro Gen","-1","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Intro Interests","-1","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Intro Competencies","-1","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Intro Resilience","-1","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Harm (bothered or upset by anything) on the internet","1: Several times each day","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Others' digital capacities","-1","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Intro Situational","-1","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Children ages","-1","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","General demographics","-1","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Household income","4: Extreme pressure - my household regularly struggles to cover the costs of basic necessities","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Costs of digital life","3: Considerable pressure - my household monitor mobile phone usage, download limits and electricity use closely.","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","Duration in current community or neighbourhood","4: Less than three years","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","328.1 - Buying and Selling - Look for information on the price of a product (e.g. books, holidays, clothes, cars)","7:  Don't know","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","328.2 - Buying and Selling - Talk to others about the price of a product (e.g. on a forum or online chat)","2:  Less than Once a Month","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","328.3 - Buying and Selling - Make an offer on a product (e.g. on eBay, Amazon)","3:  Monthly","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
"1",15,3,"Male",3351,-35.277272,149.117136,"Russian","Portuguese","Doctoral Degree","Degree","Student attending university, TAFE or other tertiary education provider","328.4 - Buying and Selling - Look for information on how to sell something you own","1: Never","Ballarat","Ballarat","Delacombe","Ararat (RC)","Golden Plains (S) - North-West"
